,0,1,2,3,4,5,6,7,8,9,10,11
0,7800.0,7875.0,7875.0,7700.0,7600.0,7300.0,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0
1,7875.0,7875.0,7700.0,7600.0,7300.0,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0
2,7875.0,7700.0,7600.0,7300.0,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0
3,7700.0,7600.0,7300.0,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0
4,7600.0,7300.0,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0
5,7300.0,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0
6,7275.0,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0
7,7450.0,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0
8,7500.0,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0
9,7500.0,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0
10,7550.0,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0
11,7500.0,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0
12,7350.0,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0
13,7400.0,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0
14,7450.0,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0
15,7425.0,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0
16,7325.0,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0
17,7300.0,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0
18,7250.0,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0
19,7100.0,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0
20,7050.0,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0
21,7025.0,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0
22,7050.0,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0
23,7125.0,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0
24,7225.0,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0
25,7175.0,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0
26,6975.0,7000.0,7025.0,7075.0,6900.0,7000.0,7250.0,7225.0,7050.0,6925.0,7075.0,7175.0
